id,email,birth_date,birth_date_year,sex,province,location,distance,steps,latitude,longitude
70,ihyeonsug@naver.com,1988-01-26,1988,여자,경상남도,경상남도 김해시 불암동,4316,5912,35.22350412,128.9270246
71,yeeun51@hanmail.net,1970-06-15,1970,남자,강원도,경상북도 구미시 상모사곡동,5866,8036,36.09922548,128.3553995
72,dohyeon04@nate.com,1997-11-05,1997,여자,강원도,경상북도 구미시 상모사곡동,6115,8377,36.09922548,128.3553995
73,zi@daum.net,1986-11-01,1986,여자,서울특별시,경상남도 거제시 장승포동,2810,3849,34.85677719,128.7203081
74,baeghyeonjeong@dreamwiz.com,1968-11-16,1968,남자,경기도,서울특별시 영등포구 여의도동,3016,4131,37.52580566,126.9266096
75,gimeunyeong@dreamwiz.com,1992-03-07,1992,여자,서울특별시,서울특별시 강북구 삼각산동,8071,11056,37.61514613,127.0206533
76,yeongho83@naver.com,1990-08-15,1990,여자,강원도,경상북도 구미시 상모사곡동,6736,9228,36.09922548,128.3553995
77,yeongjingim@naver.com,1973-11-30,1973,남자,경기도,서울특별시 영등포구 여의도동,6112,8372,37.52580566,126.9266096
78,nahyeonu@nate.com,1968-07-06,1968,남자,서울특별시,서울특별시 송파구 잠실동,5326,7296,37.50455782,127.0865691
79,junhyeogi@nate.com,1975-11-20,1975,여자,충청북도,서울특별시 송파구 잠실동,5606,7680,37.50455782,127.0865691
80,jeongsuhong@naver.com,1979-01-28,1979,남자,강원도,경상북도 구미시 상모사곡동,7314,10019,36.09922548,128.3553995
81,jeongungjeong@daum.net,1984-03-02,1984,여자,경기도,경상남도 창원시 성주동,5446,7460,35.18362701,128.7038529
82,yeongsusong@live.com,1965-02-06,1965,여자,서울특별시,경기도 안양시 만안구 안양동,3370,4616,37.38863794,126.9252441
83,ijia@daum.net,1973-02-19,1973,남자,충청남도,경기도 용인시 기흥구 상하동,6961,9536,37.26065783,127.1411257
84,yunjaehyeon@nate.com,2003-11-18,2003,여자,경기도,경상남도 창원시 성주동,8214,11252,35.18362701,128.7038529
85,jbag@daum.net,1973-10-22,1973,남자,충청남도,부산광역시 부산진구 전포제1동,8356,11446,35.15355474,129.0675338
86,minjun22@hotmail.com,2001-04-14,2001,여자,경기도,경기도 안양시 동안구 관양동,8380,11479,37.39718489,126.978675
87,jeongsugi@daum.net,1984-03-15,1984,남자,경기도,경상남도 거제시 장승포동,3659,5012,34.85677719,128.7203081
88,seojun32@gmail.com,1992-04-08,1992,남자,서울특별시,경상북도 문경시 신기동,5739,7861,36.63477454,128.1664845
89,jeongsug98@hanmail.net,1972-11-21,1972,여자,서울특별시,경상북도 문경시 신기동,5393,7388,36.63477454,128.1664845
90,jaehobag@gmail.com,1989-08-06,1989,남자,경상남도,경상남도 김해시 불암동,4571,6262,35.22350412,128.9270246
91,yeongceolgim@dreamwiz.com,1971-02-02,1971,여자,경상남도,경상남도 김해시 불암동,6332,8674,35.22350412,128.9270246
92,icoe@dreamwiz.com,1967-03-02,1967,여자,경상남도,경상남도 김해시 불암동,4378,5997,35.22350412,128.9270246
93,vgim@hotmail.com,1961-01-02,1961,남자,경기도,경상남도 창원시 성주동,8510,11657,35.18362701,128.7038529
94,gyeonghyi69@gmail.com,1980-11-23,1980,남자,서울특별시,경기도 성남시 수정구 신흥동,7642,10468,37.43973017,127.1446639
95,hanseoyun@hotmail.com,1970-02-05,1970,남자,서울특별시,서울특별시 마포구 서교동,5054,6923,37.55820368,126.9169273
96,yeonghoryu@live.com,1990-08-28,1990,남자,강원도,경상북도 구미시 상모사곡동,2803,3840,36.09922548,128.3553995
97,fgim@hanmail.net,1969-12-08,1969,여자,서울특별시,경기도 안양시 동안구 관양동,4289,5875,37.39718489,126.978675
98,hgim@nate.com,1968-05-13,1968,남자,서울특별시,경기도 성남시 수정구 수진동,3189,4369,37.44038658,127.1326937
99,onam@hanmail.net,1991-03-17,1991,여자,경상남도,경상남도 마산시 봉암동,8375,11473,35.22131864,128.5949437
100,jeongnamim@hanmail.net,2004-03-26,2004,여자,경상북도,경상북도 포항시 북구 두호동,7515,10295,36.0578989,129.3778739
101,ni@naver.com,2007-09-06,2007,여자,경상북도,경상남도 밀양시 내일동,5119,7013,35.49161857,128.751797
102,donghyeongim@nate.com,1978-04-03,1978,여자,경상북도,경기도 안양시 동안구 호계동,4625,6336,37.39050639,126.9502273
103,migyeongan@hanmail.net,2009-03-06,2009,남자,서울특별시,전라남도 목포시 상동,2690,3685,35.0344853,126.7176743
104,jaeho48@nate.com,1970-08-21,1970,여자,서울특별시,경기도 안양시 동안구 관양동,2648,3628,37.405859,126.9586544
105,yeonghyiseo@daum.net,1966-12-25,1966,남자,서울특별시,서울특별시 강북구 삼각산동,3607,4941,37.61514613,127.0206533
106,baehyeonsug@live.com,1972-07-14,1972,여자,경상남도,경상남도 마산시 봉암동,6773,9278,35.22131864,128.5949437
107,seongjini@gmail.com,1974-04-10,1974,남자,강원도,경상북도 구미시 상모사곡동,6713,9196,36.09922548,128.3553995
108,tjang@nate.com,1980-01-04,1980,남자,경기도,경상남도 창원시 성주동,3101,4248,35.18362701,128.7038529
109,kbag@gmail.com,2005-01-25,2005,여자,서울특별시,경기도 안양시 동안구 관양동,6742,9235,37.39718489,126.978675
110,songsugja@naver.com,1968-03-09,1968,남자,전라북도,경기도 안양시 동안구 관양동,8648,11847,37.405859,126.9586544
111,seongseongmin@daum.net,1998-12-19,1998,여자,경기도,경기도 용인시 기흥구 상하동,4823,6607,37.26065783,127.1411257
112,pgo@live.com,1985-10-02,1985,남자,전라북도,경기도 성남시 수정구 신흥동,7526,10310,37.43973017,127.1446639
113,ui@dreamwiz.com,1967-08-13,1967,여자,전라북도,경기도 용인시 기흥구 상하동,3171,4344,37.26065783,127.1411257
114,sujinbag@hanmail.net,1973-01-25,1973,남자,경상북도,울산광역시 중구 성안동,3048,4175,35.57906778,129.3224268
115,imijeong@daum.net,1993-08-19,1993,남자,충청남도,경상북도 포항시 북구 두호동,3105,4254,36.0578989,129.3778739
116,yejun68@gmail.com,1970-04-09,1970,남자,충청남도,전라남도 목포시 상동,8529,11684,35.0344853,126.7176743
117,miyeongcoe@gmail.com,1999-01-18,1999,남자,충청남도,충청북도 청주시 서원구 사직1동,6923,9484,36.64133985,127.4816081
118,jeongjagim@naver.com,1963-08-01,1963,남자,제주도,경기도 수원시 팔달구 인계동,4939,6766,37.27499659,127.0275439
119,minseoi@naver.com,1993-12-29,1993,남자,서울특별시,강원도 강릉시 중앙로3가,4746,6502,37.88160542,127.7237677
120,zan@hotmail.com,1970-08-03,1970,남자,충청북도,경기도 성남시 수정구 신흥동,7935,10870,37.43973017,127.1446639
121,myeongsug13@live.com,1996-02-25,1996,남자,경기도,경상남도 창원시 성주동,2587,3544,35.18362701,128.7038529
122,ujingim@gmail.com,1996-11-01,1996,남자,강원도,경상북도 구미시 상모사곡동,7320,10027,36.09922548,128.3553995
123,coegyeongsu@naver.com,1993-07-04,1993,남자,경상남도,경상남도 마산시 봉암동,3320,4548,35.22131864,128.5949437
124,minjuni@naver.com,2009-10-27,2009,남자,전라북도,경상남도 마산시 봉암동,2621,3590,35.22131864,128.5949437
125,wbag@nate.com,2000-01-03,2000,여자,경상북도,경상남도 밀양시 내일동,3564,4882,35.49161857,128.751797
126,gimyeeun@nate.com,2000-03-24,2000,남자,충청북도,경기도 성남시 중원구 상대원동,7469,10232,37.44275172,127.1669886
127,minseo59@dreamwiz.com,2005-03-21,2005,여자,전라북도,경상남도 마산시 봉암동,6674,9142,35.22131864,128.5949437
128,yunjunseo@hanmail.net,1960-05-30,1960,남자,충청북도,대전광역시 대덕구 비래동,3803,5209,36.35213652,127.443019
129,jisugja@hanmail.net,1970-01-06,1970,여자,충청남도,경기도 안양시 만안구 안양동,6251,8563,37.38863794,126.9252441
130,hjo@live.com,1976-03-22,1976,남자,충청남도,경기도 용인시 기흥구 상하동,5061,6933,37.26065783,127.1411257
131,yeweon79@hanmail.net,1973-07-25,1973,여자,경기도,경상남도 창원시 성주동,5136,7035,35.18362701,128.7038529
132,miyeong69@live.com,1970-06-09,1970,남자,경기도,경상남도 창원시 성주동,3849,5273,35.18362701,128.7038529
133,ni@daum.net,1967-11-18,1967,남자,충청북도,경기도 성남시 수정구 신흥동,6771,9275,37.43973017,127.1446639
134,pmin@naver.com,1990-03-11,1990,여자,충청남도,경상남도 마산시 봉암동,3778,5176,35.22131864,128.5949437
135,isugja@live.com,1981-03-16,1981,남자,서울특별시,서울특별시 강북구 삼각산동,3897,5338,37.61514613,127.0206533
136,jeonghyi19@gmail.com,2005-12-11,2005,남자,경상남도,경상남도 마산시 봉암동,2708,3710,35.22131864,128.5949437
137,jihyeon68@naver.com,2007-01-11,2007,여자,제주도,전라남도 목포시 상동,7714,10567,34.80084549,126.4136438
138,hyeonjungim@hotmail.com,1995-01-05,1995,여자,전라남도,대전광역시 대덕구 비래동,3828,5244,36.35213652,127.443019
139,rbag@daum.net,2010-04-04,2010,여자,강원도,경상북도 구미시 상모사곡동,5000,6849,36.09922548,128.3553995
140,egim@dreamwiz.com,2007-03-08,2007,여자,강원도,경상북도 구미시 상모사곡동,8419,11533,36.09922548,128.3553995
141,gimyeweon@hotmail.com,1974-11-14,1974,남자,경상남도,경상남도 마산시 봉암동,2984,4088,35.22131864,128.5949437
142,iyeongja@naver.com,2003-08-26,2003,여자,강원도,경상북도 안동시 평화동,5893,8072,36.56675345,128.7120706
143,minjae85@dreamwiz.com,1970-05-05,1970,남자,제주도,전라남도 목포시 상동,6898,9449,34.80084549,126.4136438
144,gimareum@naver.com,1987-11-20,1987,여자,경상북도,경기도 안양시 동안구 호계동,4836,6624,37.39050639,126.9502273
145,sumin36@live.com,1970-05-25,1970,여자,강원도,경상북도 안동시 평화동,4555,6240,36.56675345,128.7120706
146,gyeonghyigim@nate.com,2008-07-16,2008,남자,서울특별시,경기도 성남시 수정구 신흥동,4836,6624,37.43973017,127.1446639
147,yeonghogang@hanmail.net,2006-11-06,2006,남자,경기도,경상남도 창원시 성주동,8737,11969,35.18362701,128.7038529
148,gojiyeon@live.com,2009-01-12,2009,여자,전라남도,경기도 안양시 동안구 관양동,4480,6137,37.39718489,126.978675
149,caeweon34@hanmail.net,1996-10-05,1996,남자,경기도,경상남도 창원시 성주동,7059,9670,35.18362701,128.7038529
150,gangseongho@dreamwiz.com,1961-01-29,1961,여자,서울특별시,경기도 성남시 수정구 신흥동,6745,9240,37.43973017,127.1446639
151,sumini@hotmail.com,2010-07-05,2010,남자,경상북도,부산광역시 부산진구 전포제1동,3931,5385,35.15355474,129.0675338
152,eunseoson@dreamwiz.com,1964-08-13,1964,여자,충청북도,경상북도 문경시 신기동,6366,8720,36.63477454,128.1664845
153,jeongnam63@daum.net,1960-03-30,1960,남자,서울특별시,경상북도 문경시 신기동,3898,5340,36.63477454,128.1664845
154,yeeuni@daum.net,1981-04-05,1981,여자,강원도,경상북도 안동시 평화동,7289,9985,36.56675345,128.7120706
155,junhobag@daum.net,1967-05-15,1967,남자,서울특별시,서울특별시 영등포구 여의도동,7288,9983,37.52580566,126.9266096
156,donghyeonsong@gmail.com,2006-10-24,2006,여자,충청남도,대전광역시 유성구 원신흥동,6163,8442,36.34247821,127.3429369
157,yeongsunbag@dreamwiz.com,1974-12-22,1974,여자,경상북도,경기도 성남시 수정구 수진동,6053,8292,37.44038658,127.1326937
158,yeongmi41@hotmail.com,1963-06-20,1963,남자,서울특별시,경기도 성남시 수정구 신흥동,4054,5553,37.43973017,127.1446639
159,gimyeongil@dreamwiz.com,1968-10-09,1968,여자,충청북도,경기도 성남시 수정구 신흥동,3717,5092,37.43973017,127.1446639
160,ogweon@hanmail.net,1999-11-08,1999,여자,제주도,전라남도 목포시 상동,6998,9586,34.80084549,126.4136438
161,hyeonjun96@hanmail.net,1986-05-30,1986,남자,서울특별시,부산광역시 서구 부민동,7435,10185,35.10557476,129.0180691
162,vo@dreamwiz.com,2001-02-06,2001,남자,경상남도,경상남도 마산시 봉암동,6501,8905,35.22131864,128.5949437
163,baeghyejin@gmail.com,1997-07-08,1997,여자,경상남도,경상남도 마산시 봉암동,2998,4107,35.22131864,128.5949437
164,anjimin@nate.com,1979-11-26,1979,남자,서울특별시,경상북도 안동시 법상동,5809,7958,36.57044876,128.7237119
165,shong@hanmail.net,2005-04-08,2005,여자,강원도,경상북도 안동시 법상동,4400,6028,36.57044876,128.7237119
166,wgim@hotmail.com,2002-09-13,2002,남자,충청남도,경기도 안양시 만안구 안양동,7473,10237,37.38863794,126.9252441
167,gimseongsu@gmail.com,1997-02-16,1997,여자,충청북도,경기도 성남시 수정구 신흥동,5413,7415,37.43973017,127.1446639
168,fgim@dreamwiz.com,1998-10-20,1998,남자,경상남도,경상남도 마산시 봉암동,6319,8656,35.22131864,128.5949437
169,jieun08@gmail.com,1999-01-14,1999,남자,경상북도,경기도 성남시 수정구 신흥동,5381,7371,37.43973017,127.1446639
170,donghyeoni@daum.net,1987-05-01,1987,여자,충청북도,경기도 안양시 만안구 안양동,5557,7612,37.38863794,126.9252441
171,bgim@dreamwiz.com,1990-03-03,1990,여자,서울특별시,경기도 안양시 동안구 호계동,2781,3809,37.39050639,126.9502273
172,ogjaim@hanmail.net,1963-05-24,1963,남자,경상남도,경상남도 마산시 봉암동,3229,4423,35.22131864,128.5949437
173,oi@naver.com,1992-09-03,1992,여자,충청남도,부산광역시 부산진구 전포제1동,7893,10813,35.15355474,129.0675338
174,sunog33@gmail.com,1981-10-19,1981,남자,서울특별시,경상남도 밀양시 내일동,2727,3736,35.49161857,128.751797
175,jeonghunjo@gmail.com,1972-05-09,1972,여자,서울특별시,경상북도 문경시 신기동,3262,4468,36.63477454,128.1664845
176,minji83@live.com,2000-02-28,2000,여자,충청남도,경기도 성남시 수정구 수진동,3803,5210,37.44038658,127.1326937
177,oogsun@daum.net,1984-01-01,1984,여자,충청북도,경상남도 밀양시 내일동,7130,9767,35.49161857,128.751797
178,seonghun12@gmail.com,1995-04-21,1995,남자,서울특별시,경기도 성남시 수정구 신흥동,3662,5016,37.43973017,127.1446639
179,jimingo@gmail.com,1975-10-07,1975,남자,충청남도,경기도 성남시 중원구 상대원동,3556,4871,37.44275172,127.1669886
180,baegmisug@nate.com,2002-06-29,2002,여자,충청남도,경기도 성남시 수정구 신흥동,7072,9688,37.43973017,127.1446639
181,nadohyeon@gmail.com,2007-12-14,2007,여자,서울특별시,부산광역시 부산진구 부전제1동,4044,5540,35.16360753,129.0629884
182,zjang@dreamwiz.com,1965-02-08,1965,여자,경상남도,경상남도 마산시 봉암동,5273,7223,35.22131864,128.5949437
183,seoyeonghwan@naver.com,1979-02-22,1979,남자,경상북도,경기도 성남시 수정구 신흥동,6910,9466,37.43973017,127.1446639
184,byeongceol06@gmail.com,2000-08-19,2000,여자,강원도,경상북도 안동시 법상동,4586,6282,36.57044876,128.7237119
185,jeongnam24@live.com,1989-10-13,1989,남자,경상남도,경상남도 마산시 봉암동,7236,9912,35.22131864,128.5949437
186,gojaeho@live.com,1999-03-23,1999,남자,경상북도,경기도 안양시 만안구 안양동,3764,5156,37.38863794,126.9252441
187,myeongjagim@nate.com,1981-05-27,1981,남자,경기도,경상남도 창원시 성주동,6251,8563,35.18362701,128.7038529
188,lgwag@dreamwiz.com,1990-01-06,1990,남자,서울특별시,경상남도 창원시 성주동,6085,8335,35.18362701,128.7038529
189,gimeunji@gmail.com,2005-08-28,2005,남자,서울특별시,서울특별시 영등포구 여의도동,4500,6164,37.52580566,126.9266096
190,ogsun35@live.com,2004-06-28,2004,여자,충청남도,서울특별시 영등포구 여의도동,8757,11996,37.52580566,126.9266096
191,sangceol52@daum.net,2003-10-21,2003,남자,충청남도,경기도 성남시 수정구 수진동,5516,7556,37.44038658,127.1326937
192,ieunjeong@nate.com,1975-08-21,1975,남자,전라북도,경기도 성남시 수정구 신흥동,5809,7958,37.43973017,127.1446639
193,wi@naver.com,1974-08-09,1974,남자,전라남도,경상북도 문경시 신기동,4123,5648,36.63477454,128.1664845
194,ogja88@gmail.com,1967-08-09,1967,남자,경기도,경상남도 거제시 장승포동,2697,3695,34.85677719,128.7203081
195,gimjihyeon@nate.com,1999-03-12,1999,여자,경기도,경기도 안양시 동안구 관양동,7334,10047,37.405859,126.9586544
196,seoyeong74@dreamwiz.com,1960-09-05,1960,남자,서울특별시,경기도 안양시 동안구 관양동,5302,7263,37.39718489,126.978675
197,vbaeg@live.com,1972-04-13,1972,남자,서울특별시,경상남도 진해시 덕산동,3783,5182,35.14609763,128.7018432
198,yueunjeong@hotmail.com,1993-07-12,1993,남자,서울특별시,경상남도 진해시 덕산동,6979,9560,35.14609763,128.7018432
199,bagseoyeong@naver.com,1971-11-03,1971,남자,전라남도,서울특별시 영등포구 여의도동,7645,10473,37.52580566,126.9266096
200,yeweonsin@nate.com,1987-09-14,1987,여자,서울특별시,경기도 성남시 수정구 수진동,4665,6390,37.44038658,127.1326937
201,junho79@nate.com,1999-12-27,1999,남자,서울특별시,경상남도 진해시 덕산동,7539,10328,35.14609763,128.7018432
202,doyungim@hanmail.net,1977-06-05,1977,남자,서울특별시,경기도 성남시 수정구 신흥동,4316,5912,37.43973017,127.1446639
203,jieungim@live.com,1953-07-26,1953,남자,서울특별시,서울특별시 강북구 삼각산동,4911,6727,37.61514613,127.0206533
204,songhyeonju@naver.com,1992-01-23,1992,여자,충청북도,서울특별시 강북구 삼각산동,4054,5553,37.61514613,127.0206533
205,gimminjae@daum.net,2003-02-22,2003,남자,서울특별시,경상남도 진해시 웅동1동,8531,11686,35.12518193,128.7836433
206,anyeongsu@hotmail.com,2010-11-20,2010,남자,서울특별시,경기도 성남시 수정구 신흥동,6154,8430,37.43973017,127.1446639
207,xgim@dreamwiz.com,1961-02-24,1961,남자,서울특별시,경기도 성남시 수정구 신흥동,6546,8967,37.43973017,127.1446639
208,yeongsu39@dreamwiz.com,1977-07-03,1977,여자,경상남도,경상남도 마산시 봉암동,7603,10415,35.22131864,128.5949437
209,jihunjang@hanmail.net,2004-09-20,2004,남자,경상남도,경상남도 마산시 봉암동,7342,10057,35.22131864,128.5949437
210,qo@live.com,1959-06-27,1959,남자,서울특별시,경기도 성남시 수정구 신흥동,5322,7290,37.43973017,127.1446639
211,gyeongsubag@live.com,2004-04-10,2004,남자,서울특별시,경상남도 진해시 웅동1동,8402,11510,35.12518193,128.7836433
212,ngim@live.com,1954-02-04,1954,여자,경상남도,경상남도 마산시 봉암동,7535,10322,35.22131864,128.5949437
213,ihyeonji@gmail.com,1952-12-20,1952,남자,서울특별시,부산광역시 서구 부민동,4500,6165,35.10557476,129.0180691
214,hyeonsughan@gmail.com,1966-07-16,1966,남자,경기도,경기도 성남시 수정구 신흥동,2982,4085,37.43973017,127.1446639
215,ryumisug@nate.com,1974-06-20,1974,남자,서울특별시,충청북도 제천시 화산동,4060,5561,37.12914435,128.2094095
